,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-04-09,1795.0,365.0,72.0,44492107.16840906,888.9744133310503,1507.8571776083272
2020-04-10,1975.0,375.0,82.0,44491678.41719355,1047.7635121513847,1777.819294298111
2020-04-11,1975.0,440.0,83.0,44491172.32390346,1235.1931775893247,2096.4829189473458
2020-04-12,2142.0,468.0,90.0,44490574.49845628,1456.590385294323,2472.9111584249904
2020-04-13,2208.0,515.0,97.0,44489868.51283611,1718.036127641196,2917.451036242788
2020-04-14,2277.0,559.0,102.0,44489035.90109371,2026.3654137301205,3441.733492555266
2020-04-15,2443.0,596.0,111.0,44488055.01666313,2389.5865918717263,4059.396744997812
2020-04-16,2571.0,631.0,115.0,44486898.01320823,2817.9966709681294,4787.9901207960775
2020-04-17,2669.0,666.0,123.0,44485536.75349497,3322.0207911072075,5645.225713917972
2020-04-18,2758.0,685.0,129.0,44483935.00867955,3915.068731194655,6653.922589257292
2020-04-19,0.0,,,44482047.51608052,4613.8801836099665,7842.603735868224
2020-04-20,0.0,,,44479819.97917882,5438.524754206443,9245.496066965345
2020-04-21,0.0,,,44477189.06761776,6412.401962311188,10902.530419923627
2020-04-22,0.0,,,44474082.417202994,7562.241240725108,12859.341556278432
2020-04-23,0.0,,,44470418.62990255,8918.101935722912,15167.268161725513
2020-04-24,0.0,,,44466104.29945515,10514.426016063993,17885.27452877861
2020-04-25,0.0,,,44461016.62221929,12396.320812525471,21091.056968182256
2020-04-26,0.0,,,44455031.4653893,14609.823001545325,24862.711609150407
2020-04-27,0.0,,,44447992.074047014,17212.85673954967,29299.069213428593
2020-04-28,0.0,,,44439702.25849275,20277.628842600418,34524.11266464378
2020-04-29,0.0,,,44429926.3942453,23890.628786395268,40686.97696830437
2020-04-30,0.0,,,44418389.42204193,28152.628706267737,47961.94925180019
2020-05-01,0.0,,,44404776.84783841,33178.68339718712,56548.468764402525
2020-05-02,0.0,,,44388734.742808975,39098.13031375849,66671.12687726405
2020-05-03,0.0,,,44369866.19794706,46055.561779207754,78582.24027372032
2020-05-04,0.0,,,44347658.24091305,54233.230548316096,92612.5285386251
2020-05-05,0.0,,,44321559.625258476,63835.375956777505,109108.99878474162
2020-05-06,0.0,,,44290905.50301239,75106.4987196103,128491.99826799004
2020-05-07,0.0,,,44254878.20569573,88341.48427558714,151284.3100286753
2020-05-08,0.0,,,44212507.24432127,103885.60278723498,178111.15289148723
2020-05-09,0.0,,,44162669.30939366,122134.5091408351,209700.18146550044
2020-05-10,0.0,,,44104088.2709094,143534.2429464231,246881.48614417439
2020-05-11,0.0,,,44035335.17835685,168581.22853778888,290587.5931053533
2020-05-12,0.0,,,43954828.27542894,197822.2491003848,341853.47547066037
2020-05-13,0.0,,,43860820.8647967,231788.9846723153,401894.15053098026
2020-05-14,0.0,,,43751058.31222089,271265.4051942947,472180.2825848061
2020-05-15,0.0,,,43622884.386620596,317209.2047003102,554410.4086790828
2020-05-16,0.0,,,43473371.20454356,370584.6239086836,650548.1715477435
2020-05-17,0.0,,,43299319.230166204,432362.4502220717,762822.3196117101
2020-05-18,0.0,,,43097257.27529363,503520.0177274662,893726.7069788926
