,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-04-11,967.0,173.0,13.0,2951476.0926062497,301.9073692462549,2.450419245298381e-05
2020-04-12,1013.0,197.0,13.0,2951436.9763082108,341.02366408905124,2.770037369678611e-05
2020-04-13,1039.0,211.0,14.0,2951392.7396431407,385.26032554444674,3.131498334329692e-05
2020-04-14,1067.0,265.0,16.0,2951342.670392326,435.32957226793053,3.540624573216547e-05
2020-04-15,1111.0,297.0,17.0,2951285.975804715,492.02415524641776,4.00389731321175e-05
2020-04-16,1159.0,358.0,18.0,2951221.7825969174,556.2173577982496,4.5284565740955245e-05
2020-04-17,1201.0,402.0,19.0,2951149.1369532063,628.8629955731934,5.122101168555743e-05
2020-04-18,1248.0,523.0,20.0,2951067.004525515,710.9954165524427,5.793288702187929e-05
2020-04-19,0.0,,,2950974.2704334403,803.7295010486171,6.551135573495255e-05
2020-04-20,0.0,,,2950869.524456838,908.4754690904545,7.407196506676693e-05
2020-04-21,0.0,,,2950751.000853267,1026.999062974031,8.375945269685751e-05
2020-04-22,0.0,,,2950617.2950943485,1160.7048109637662,9.468826691545514e-05
2020-04-23,0.0,,,2950466.6145332614,1311.3853597341254,0.0001070047566092737
2020-04-24,0.0,,,2950296.7397255558,1481.2601535542512,0.00012089037933657153
2020-04-25,0.0,,,2950105.024429151,1672.9754342879648,0.00013656170132715151
2020-04-26,0.0,,,2949888.395604336,1889.604241393765,0.00015427039748236096
2020-04-27,0.0,,,2949643.3534137723,2134.646411924829,0.00017430325137509164
2020-04-28,0.0,,,2949365.971222489,2412.0285805290105,0.00019698215524977986
2020-04-29,0.0,,,2949051.8955978877,2726.104179448844,0.0002226641100224064
2020-04-30,0.0,,,2948696.346309738,3081.65343852154,0.0002517412252804965
2020-05-01,0.0,,,2948294.116330181,3483.883385178985,0.0002846407192831197
2020-05-02,0.0,,,2947839.571833728,3938.4278444477495,0.0003218249189608903
2020-05-03,0.0,,,2947326.65219726,4451.347438949075,0.00036379125991596703
2020-05-04,0.0,,,2946747.316049617,5030.683539174035,0.0004112094436872918
2020-05-05,0.0,,,2946092.465190607,5685.534344560373,0.0004648326051101562
2020-05-06,0.0,,,2945354.1564509575,6423.843023741825,0.0005253007730813156
2020-05-07,0.0,,,2944522.2888230663,7255.710583497121,0.0005934369383825905
2020-05-08,0.0,,,2943584.560989375,8193.438340374394,0.0006702508330652865
2020-05-09,0.0,,,2942526.47132237,9251.527920691191,0.0007569389304501939
2020-05-10,0.0,,,2941331.317884581,10446.681260534457,0.0008548844451275883
2020-05-11,0.0,,,2939980.1984285824,11797.800605760553,0.00096565733295723
2020-05-12,0.0,,,2938452.010396991,13325.98851199523,0.0010910142910683645
2020-05-13,0.0,,,2936723.4509224677,15054.547844633678,0.001232898757859722
2020-05-14,0.0,,,2934769.016827719,17008.98177884046,0.0013934409129995177
2020-05-15,0.0,,,2932561.004625493,19216.993799549567,0.0015749576774254524
2020-05-16,0.0,,,2930069.510518583,21708.487701464383,0.0017799527133447108
2020-05-17,0.0,,,2927262.4303998263,24515.56758905772,0.0020111164242339634
2020-05-18,0.0,,,2924100.2717164555,27677.726011559986,0.002271984855441493
2020-05-19,0.0,,,2920537.1835170346,31240.813916496976,0.002566468789212538
2020-05-20,0.0,,,2916525.15885024,35252.83825138253,0.0028983778423554646
2020-05-21,0.0,,,2912007.918226,39770.07850164053,0.003272359648200639
2020-05-22,0.0,,,2906920.897011317,44857.09929478156,0.0036939016416839615
2020-05-23,0.0,,,2901191.245430266,50586.75040040295,0.00416933105934687
2020-05-24,0.0,,,2894737.8285639966,57040.166730188736,0.004705814939336344
2020-05-25,0.0,,,2887471.2263507303,64306.76833790964,0.005311360121404892
2020-05-26,0.0,,,2879293.7335857637,72484.26041942314,0.005994813246910565
2020-05-27,0.0,,,2870099.3599214656,81678.63331267342,0.006765860758816952
2020-05-28,0.0,,,2859773.8298672796,92004.16249769136,0.0076350289016931736
2020-05-29,0.0,,,2848194.5827897214,103583.40859659459,0.008613683721713894
